"","Country.Name","NY.GDP.PCAP.CD.YR2013","NY.GDP.PCAP.CD.YR2014","NY.GDP.PCAP.CD.YR2015","NY.GDP.PCAP.CD.YR2016","NY.GDP.PCAP.CD.YR2017","NY.GDP.PCAP.CD.YR2018","NY.GDP.PCAP.CD.YR2019","NY.GDP.PCAP.CD.YR2020","NY.GDP.PCAP.CD.YR2021","NY.GDP.PCAP.CD.YR2022","IT.NET.USER.ZS.YR2013","IT.NET.USER.ZS.YR2014","IT.NET.USER.ZS.YR2015","IT.NET.USER.ZS.YR2016","IT.NET.USER.ZS.YR2017","IT.NET.USER.ZS.YR2018","IT.NET.USER.ZS.YR2019","IT.NET.USER.ZS.YR2020","IT.NET.USER.ZS.YR2021","IT.NET.USER.ZS.YR2022","IT.CEL.SETS.P2.YR2013","IT.CEL.SETS.P2.YR2014","IT.CEL.SETS.P2.YR2015","IT.CEL.SETS.P2.YR2016","IT.CEL.SETS.P2.YR2017","IT.CEL.SETS.P2.YR2018","IT.CEL.SETS.P2.YR2019","IT.CEL.SETS.P2.YR2020","IT.CEL.SETS.P2.YR2021","IT.CEL.SETS.P2.YR2022","SL.TLF.ADVN.ZS.YR2013","SL.TLF.ADVN.ZS.YR2014","SL.TLF.ADVN.ZS.YR2015","SL.TLF.ADVN.ZS.YR2016","SL.TLF.ADVN.ZS.YR2017","SL.TLF.ADVN.ZS.YR2018","SL.TLF.ADVN.ZS.YR2019","SL.TLF.ADVN.ZS.YR2020","SL.TLF.ADVN.ZS.YR2021","SL.TLF.ADVN.ZS.YR2022","PV.PER.RNK.YR2013","PV.PER.RNK.YR2014","PV.PER.RNK.YR2015","PV.PER.RNK.YR2016","PV.PER.RNK.YR2017","PV.PER.RNK.YR2018","PV.PER.RNK.YR2019","PV.PER.RNK.YR2020","PV.PER.RNK.YR2021","PV.PER.RNK.YR2022"
"41","Cayman Islands",75685.3583652828,76610.647967975,77295.8456647776,78858.2796562866,81255.1122691866,85231.7751511594,89846.3210991824,83897.5052077489,88475.6008787475,88475.6008787475,71.4,74.1,77,79,81.06769325,81.06769325,81.06769325,81.06769325,81.06769325,81.06769325,168.4120113,152.8861652,153.0823661,153.6543837,152.0202576,152.0202576,149.6960716,148.5663349,146.7652929,146.7652929,88.11,88.11,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,82.4644546508789,86.6666641235352,90.9523773193359,91.9047622680664,91.9047622680664,90.0943374633789,97.1698150634766,98.1132049560547,99.5283050537109,99.5283050537109
"44","Chad",980.083544666224,1017.78776234557,774.411603146897,691.98007735414,662.89747343383,720.265100910693,701.621200811434,643.772216240999,685.690314996613,716.804381236651,2.5,2.9,3.5,5.8,7.4,8,8.364171285,11.66019198,17.8688792,17.8688792,34.51103697,38.34059787,38.65410953,38.27772119,42.21562356,44.75798518,47.52838524,52.19169152,60.22303015,68.19628834,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,15.6398105621338,8.09523773193359,16.1904754638672,10.4761905670166,9.5238094329834,8.01886749267578,10.3773584365845,11.3207550048828,10.8490562438965,10.8490562438965
"46","Chile",15833.2759194461,14666.3431168586,13569.9481274733,13785.6875977318,15045.5278507601,15795.7081412484,14627.14501648,13165.3863429858,16247.4010150765,15355.5064965406,58,61.11,76.62959195,83.55858602,82.32748693,84.9,85.01758384,86.37099516,90.19336882,90.19336882,135.1310128,133.8868853,129.861175,128.8584324,125.28541,134.6365175,131.5774455,129.8851806,136.3134058,134.7453263,84.33,82.94,83.99,83,82.5,82.62,83.22,81.08,83.54,85.12,59.7156410217285,60,60,60.476188659668,61.9047622680664,60.8490562438965,47.6415100097656,48.5849075317383,48.5849075317383,48.5849075317383
"48","Colombia",8263.64192942212,8167.47284156278,6228.65162186096,5936.26102166829,6449.97098726073,6782.0379203319,6436.50921529531,5304.28912886637,6182.70709867969,6630.28272608054,51.7,52.57,55.90497251,58.13649357,62.25988032,64.12637682,65.00690072,69.79533474,73.02837449,72.79637704,108.7745797,118.5362158,121.6634145,123.2204667,128.6822441,130.9211763,132.0713308,132.8719623,145.6931676,155.7854178,78.46,78.03,77.79,77.1,76.46,75.3,74.64,74.64,75.22,79.2,10.4265403747559,10.9523811340332,12.8571424484253,16.1904754638672,18.0952377319336,19.3396224975586,15.0943393707275,23.5849056243896,17.4528293609619,17.4528293609619
"49","Comoros",1595.98981855871,1608.68787502176,1322.93677460001,1357.26622888841,1414.58668930426,1531.33781085768,1510.7973226286,1519.58677981636,1577.47084066118,1484.8924647255,6.5,6.98,7.459161386,7.938322771,8.478170295,8.478170295,16.38375122,21.16321517,27.33694319,27.33694319,49.68601299,53.59551757,58.17265028,60.89111697,61.56441686,64.26561932,72.72164109,96.95013186,103.8731734,100.2382961,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,77.64,77.64,37.4407577514648,37.6190490722656,37.6190490722656,48.0952377319336,48.0952377319336,34.4339637756348,41.9811325073242,37.2641525268555,39.6226425170898,39.6226425170898
"50","Congo, Dem. Rep.",444.864357393335,472.266235961574,482.064568490893,456.027950503848,451.089088632243,546.212593331533,575.882781272568,524.666686258939,577.209215199828,586.464288888955,2.2,3,3.799999507,6.20997406,8.619904916,11.7,16.48118911,22.86494849,22.90158489,22.90158489,38.4316525,48.79683182,47.99678106,35.47706053,41.97184654,41.87818082,41.29072644,43.93861689,48.89330021,50.3424172,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,2.84360194206238,4.7619047164917,4.7619047164917,4.2857141494751,3.33333325386047,4.24528312683105,7.54716968536377,6.13207530975342,8.49056625366211,8.49056625366211
"52","Costa Rica",10633.2665598785,10737.6788753949,11529.9551735671,11899.8139783719,12118.1336180615,12383.1499469519,12669.3411617396,12179.2566742377,12537.2567461753,13198.8217168097,45.96,53,59.76295014,65.88044919,71.58166462,73.47972844,81.20259644,80.53018608,82.74901607,82.59801121,148.4280298,144.9214415,153.9372109,168.4594269,177.0248638,168.5386493,143.7687874,146.6370492,152.0081561,152.0251489,80.23,78.8,78.93,75.48,75.64,75.78,79.73,77.81,77.79,74.54,67.7725143432617,65.2380981445313,67.6190490722656,67.6190490722656,66.1904754638672,62.2641525268555,60.3773574829102,72.1698150634766,76.8867950439453,76.8867950439453
"53","Cote d'Ivoire",1903.0542292873,2124.01943006075,1941.5818977126,1999.19537158364,2113.34152529371,2295.5403346362,2290.78737894782,2349.06988200032,2613.37889305378,2486.41219393777,6.6,10,16.7,41.20781493,43.83992085,37.54653613,36.28895457,41.3736053,45.42553268,35.47812105,86.2996605,96.12542511,107.6742335,113.3711016,127.7656655,132.6110689,142.9449473,149.543339,162.1701041,174.0251271,83.31,83.31,83.31,64.94,42.01,42.01,76.38,76.38,76.38,76.38,17.0616111755371,13.3333330154419,20,15.7142858505249,12.8571424484253,15.5660381317139,13.6792449951172,14.1509437561035,16.5094337463379,16.5094337463379
"54","Croatia",13949.1217681988,13970.9832274478,12071.090955025,12550.7088600004,13562.1440493296,15003.1406807658,15086.2117396215,14236.5352454642,17747.7892862107,18413.2346820557,66.7476,68.57,69.84503592,72.69726967,67.09619204,75.29462599,79.07978368,78.32090004,81.25396608,82.07154778,109.5654436,104.1405499,103.7803054,104.5124819,102.9365288,105.479914,106.6565741,106.805903,108.4252864,111.1680153,72.98,74.3,73.16,71.68,72.48,72.24,72.06,71.66,71.11,72.71,66.3507080078125,67.1428604125977,65.2380981445313,68.0952377319336,70,72.6415100097656,69.8113174438477,65.5660400390625,69.3396224975586,69.3396224975586
"57","Cyprus",27797.453125,27244.34375,23487.21875,24715.142578125,26697.005859375,29419.88671875,29417.921875,28035.984375,31552.03515625,31283.505859375,65.4548,69.33,71.71574092,75.9002054,80.74318897,84.43358252,86.06362996,90.80194644,90.75951564,89.60095366,128.1609557,131.1454545,130.9823176,132.6368741,136.1722981,137.0450965,139.994482,139.6351351,148.7380631,148.7380631,83.75,84.1,83.91,81.93,81.77,81.87,82.88,82.44,82.44,82.87,64.9289093017578,63.8095245361328,62.8571434020996,66.1904754638672,65.2380981445313,62.7358474731445,64.1509399414063,56.1320762634277,58.4905662536621,58.4905662536621
