"","Country.Name","NY.GDP.PCAP.CD.Mean_10_Years","IT.NET.USER.ZS.Mean_10_Years","IT.CEL.SETS.P2.Mean_10_Years","SL.TLF.ADVN.ZS.Mean_10_Years","PV.PER.RNK.Mean_10_Years","Cluster","GDP - Rank","Internet User - Rank","Cell User - Rank","% Work Force with Adv Degree - Rank","Political Stability - Rank","Composite-Score","Composite-Rank"
"81","Fiji",5305.98591419582,63.658341071,107.39071711,84.132,67.401742553711,2,87,77,93,22,51,66,60
"82","Finland",48506.1114965471,89.610397681,131.75582421,74.584,86.182396697998,4,17,16,40,110,17,40,25
"84","France",40389.8624449878,82.496625,109.035634898,76.844,54.6604621887207,4,27,34,88,93,73,63,54
"87","Gambia, The",681.577577502652,24.139364236,109.897015084,74.47,46.3489566802979,2,160,141,84,111,91,117.4,128
"88","Georgia",4712.12477017681,61.228474035,144.14553227,73.985,31.5053207397461,2,93,80,20,115,116,84.8,85
"89","Germany",46335.6560048896,87.455418358,126.01916818,73.659,69.9717506408691,4,20,23,48,118,44,50.6,35
"90","Ghana",2094.69897634773,40.397594316,121.2752419,72.932,47.4542945861816,2,127,113,61,122,85,101.6,110.5
"92","Greece",19547.9302501273,71.658249747,113.49221014,75.363,46.4929454803467,1,43,57,81,101,90,74.4,71
"96","Guatemala",4417.04716926223,37.941195806,119.61160602,82.436,27.0821569442749,2,96,117,65,42,125,89,91.5
"97","Guinea",963.543340504497,19.527976175,92.917488005,79.51,20.0999285697937,2,149,146,117,69,136,123.4,141
"98","Guinea-Bissau",696.161311926556,17.795534562,82.16111174,72.34,26.8083570480347,2,158,151,132,126,127,138.8,157
"99","Guyana",7729.00312464841,53.734074142,88.472815456,78.72,41.0268863677979,2,71,97,123,78,100,93.8,98
"103","Honduras",2432.81120256502,34.424900718,79.803630456,85.614,27.7171342849731,2,121,125,136,16,123,104.2,115
"104","Hong Kong SAR, China",45280.0156820864,87.927464285,262.73393588,76.445,67.3250762939453,4,22,20,2,96,54,38.8,23
"105","Hungary",15502.468423068,79.746067572,106.43300202,73.841,71.9016830444336,1,51,42,97,116,41,69.4,67
"107","Iceland",63449.7603641291,98.682470369,116.19274103,89.77,96.065601348877,4,10,1,74,4,3,18.4,5
"112","India",1882.48540200925,26.103025459,80.151489187,61.023,17.9438177108765,2,129,137,134,160,140,140,159
"113","Indonesia",3887.24186488648,38.183677585,131.89087269,83.822,28.4720834732056,2,106,116,39,25,121,81.4,81
"114","Iran, Islamic Rep.",4661.00245790607,60.731853078,116.499726784,48.016,11.578141450882,2,94,81,72,168,151,113.2,122
"115","Iraq",5245.82443003712,33.515551468,90.03068122,74.71,2.4184540271759,2,89,127,120,109,166,122.2,137.5
"116","Ireland",75191.8937382152,86.918744073,105.88468239,81.241,80.1056259155273,4,6,25,99,50,29,41.8,26
"118","Israel",42874.5737042763,82.509663319,132.73807644,81.236,15.4411156654358,4,26,33,36,51,144,58,47
"119","Italy",33487.8294599643,66.928548845,140.5477334,74.817,60.3940605163574,1,30,67,25,108,62,58.4,49
"120","Jamaica",5285.74161706102,60.237228527,107.32222786,75.696,55.0850082397461,2,88,86,94,98,72,87.6,88
"121","Japan",38634.067115633,89.081792422,140.85221986,78.171,85.6428955078125,1,28,17,24,81,20,34,14
"122","Jordan",4141.94527819007,64.520236288,95.396135865,62.934,31.6259523391723,2,101,75,112,158,114,112,121
"124","Kenya",1752.25448404548,20.573172439,96.256580917,72.246,11.9786304473877,2,132,143,109,127,149,132,150
"125","Kiribati",1559.66981162398,31.175915989,38.157737085,82.747,84.9503730773926,2,134,132,166,35,23,98,107.5
"127","Korea, Rep.",31038.3298792741,93.356090988,126.76331807,71.975,60.278621673584,1,33,7,47,130,64,56.2,43.5
"129","Kuwait",33899.8981382911,91.740738554,176.4671706,72.73,50.57243309021,1,29,11,4,123,80,49.4,34
"130","Kyrgyz Republic",1282.42674884167,52.18877614,131.08082242,74.958,26.8883234024048,2,142,99,41,104,126,102.4,113
"131","Lao PDR",2304.31434996919,35.367269314,61.339711991,77.94,62.9003833770752,2,123,124,149,83,59,107.6,117
"136","Latvia",17151.1882334863,83.104149025,119.0464024,82.769,63.0946426391602,1,48,30,68,33,58,47.4,32
"138","Lebanon",7259.90548562188,78.873153581,72.818430783,60.79,7.81534881591797,2,73,44,142,163,159,116.2,125
"139","Lesotho",1081.39444299798,35.537775422,86.980334949,88.51,39.3159051895142,2,145,122,125,7,104,100.6,109
"140","Liberia",695.369874288953,18.821198916,52.030552841,82.259,32.0965200424194,2,159,150,155,43,113,124,142
"143","Lithuania",18612.6367566279,78.296760591,139.19141584,82.664,73.8475273132324,1,45,47,26,36,38,38.4,21
"147","Luxembourg",117302.842960649,96.986733731,136.5664781,79.614,95.8364898681641,3,2,2,33,65,4,21.2,6
"148","Macao SAR, China",68309.6588464703,81.352805184,306.96800964,89.255,90.5344360351562,4,8,35,1,6,10,12,2
"149","Madagascar",496.319194921529,9.5696110899,45.336234013,69.24,28.5268991470337,2,167,165,162,147,120,152.2,162.5
"150","Malawi",555.745792382431,11.935717107,44.81660232,77.303,41.7420513153076,2,161,161,163,89,98,134.4,152
"151","Malaysia",10645.6292811592,79.980906864,138.21839201,71.584,52.3952220916748,2,61,39,28,134,78,68,63
"152","Maldives",9764.06118428964,66.981900951,160.56796288,89.713,57.5198749542236,2,67,66,8,5,66,42.4,27
"153","Mali",810.071203418181,19.427762835,116.40725595,74.955,5.36049828529358,2,153,147,73,105,163,128.2,146
"154","Malta",29132.0646049817,81.04368164,124.47490549,84.925,87.7408264160156,1,34,36,54,19,14,31.4,13
